  ps    clock         instruction             pcout         s_regDout         s_regSout         s_regAout    c_muxALUI_A    c_muxSD_ALU              outM    writeM               inM
   0        1  000000000000000101  0000000000011000  0000000000000000  0000000000000000  0000000000000010              0              0  0000000000000000         0  0000000000000000
   0        1  100010000100010000  0000000000011001  0000000000000000  0000000000000000  0000000000000101              1              0  0000000000000000         0  0000000000000000
   0        1  100000011000100000  0000000000011010  0000000000000000  0000000000000000  0000000000000101              1              0  0000000000000000         1  0000000000000000
   0        1  000000000000000001  0000000000011011  0000000000000000  0000000000000000  0000000000000101              0              0  0000000000000000         0  0000000000000000
   0        1  100011100000010000  0000000000011100  0000000000000000  0000000000000000  0000000000000001              1              0  0000000000000001         0  0000000000000001
   0        1  100000011100010000  0000000000011101  0000000000000001  0000000000000000  0000000000000001              1              0  0000000000000000         0  0000000000000001
   0        1  100000011000100000  0000000000011110  0000000000000000  0000000000000000  0000000000000001              1              0  0000000000000000         1  0000000000000001
   0        1  000000000000010000  0000000000011111  0000000000000000  0000000000000000  0000000000000001              0              0  0000000000000000         0  0000000000000000
   0        1  100000011000000111  0000000000100000  0000000000000000  0000000000000000  0000000000010000              1              0  0000000000000000         0  0000000000000000
   0        1  100001010100000000  0000000000010000  0000000000000000  0000000000000000  0000000000010000              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000001  0000000000010001  0000000000000000  0000000000000000  0000000000010000              0              0  0000000000000000         0  0000000000000000
   0        1  100011100000010000  0000000000010010  0000000000000000  0000000000000000  0000000000000001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000100001  0000000000010011  0000000000000000  0000000000000000  0000000000000001              0              0  0000000000000000         1  0000000000000000
   0        1  100000011000000010  0000000000010100  0000000000000000  0000000000000000  0000000000100001              1              0  0000000000000000         0  0000000000000000
   0        1  100001010100000000  0000000000100001  0000000000000000  0000000000000000  0000000000100001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000101  0000000000100010  0000000000000000  0000000000000000  0000000000100001              0              0  0000000000000000         0  0000000000000000
   0        1  100011100000010000  0000000000100011  0000000000000000  0000000000000000  0000000000000101              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000001  0000000000100100  0000000000000000  0000000000000000  0000000000000101              0              0  0000000000000000         0  0000000000000000
   0        1  100000011000100000  0000000000100101  0000000000000000  0000000000000000  0000000000000001              1              0  0000000000000000         1  0000000000000000
   0        1  000000000000000010  0000000000100110  0000000000000000  0000000000000000  0000000000000001              0              0  0000000000000000         0  0000000000000000
   0        1  100011100000010000  0000000000100111  0000000000000000  0000000000000000  0000000000000010              1              0  0000000000000000         0  0000000000000000
   0        1  100000011100010000  0000000000101000  0000000000000000  0000000000000000  0000000000000010              1              0  1111111111111111         0  0000000000000000
   0        1  100000011000100000  0000000000101001  1111111111111111  0000000000000000  0000000000000010              1              0  1111111111111111         1  0000000000000000
   0        1  000000000000001001  0000000000101010  1111111111111111  0000000000000000  0000000000000010              0              0  0000000000000010         0  1111111111111111
   0        1  100000011000000111  0000000000101011  1111111111111111  0000000000000000  0000000000001001              1              0  1111111111111111         0  0000000000000000
   0        1  100001010100000000  0000000000001001  1111111111111111  0000000000000000  0000000000001001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000010  0000000000001010  1111111111111111  0000000000000000  0000000000001001              0              0  0000000000001001         0  0000000000000000
   0        1  100011100000010000  0000000000001011  1111111111111111  0000000000000000  0000000000000010              1              0  1111111111111111         0  1111111111111111
   0        1  000000000000101100  0000000000001100  1111111111111111  0000000000000000  0000000000000010              0              0  0000000000000010         1  1111111111111111
   0        1  100000011000000010  0000000000001101  1111111111111111  0000000000000000  0000000000101100              1              0  1111111111111111         0  0000000000000000
   0        1  100001010100000000  0000000000001110  1111111111111111  0000000000000000  0000000000101100              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000101  0000000000001111  1111111111111111  0000000000000000  0000000000101100              0              0  0000000000101100         0  0000000000000000
   0        1  100001010100100000  0000000000010000  1111111111111111  0000000000000000  0000000000000101              1              0  0000000000000000         1  0000000000000000
   0        1  000000000000000001  0000000000010001  1111111111111111  0000000000000000  0000000000000101              0              0  0000000000000101         0  0000000000000000
   0        1  100011100000010000  0000000000010010  1111111111111111  0000000000000000  0000000000000001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000100001  0000000000010011  0000000000000000  0000000000000000  0000000000000001              0              0  0000000000000000         1  0000000000000000
   0        1  100000011000000010  0000000000010100  0000000000000000  0000000000000000  0000000000100001              1              0  0000000000000000         0  0000000000000000
   0        1  100001010100000000  0000000000100001  0000000000000000  0000000000000000  0000000000100001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000101  0000000000100010  0000000000000000  0000000000000000  0000000000100001              0              0  0000000000000000         0  0000000000000000
   0        1  100011100000010000  0000000000100011  0000000000000000  0000000000000000  0000000000000101              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000001  0000000000100100  0000000000000000  0000000000000000  0000000000000101              0              0  0000000000000000         0  0000000000000000
   0        1  100000011000100000  0000000000100101  0000000000000000  0000000000000000  0000000000000001              1              0  0000000000000000         1  0000000000000000
   0        1  000000000000000010  0000000000100110  0000000000000000  0000000000000000  0000000000000001              0              0  0000000000000000         0  0000000000000000
   0        1  100011100000010000  0000000000100111  0000000000000000  0000000000000000  0000000000000010              1              0  0000000000000010         0  0000000000000010
   0        1  100000011100010000  0000000000101000  0000000000000010  0000000000000000  0000000000000010              1              0  0000000000000001         0  0000000000000010
   0        1  100000011000100000  0000000000101001  0000000000000001  0000000000000000  0000000000000010              1              0  0000000000000001         1  0000000000000010
   0        1  000000000000001001  0000000000101010  0000000000000001  0000000000000000  0000000000000010              0              0  0000000000000000         0  0000000000000001
   0        1  100000011000000111  0000000000101011  0000000000000001  0000000000000000  0000000000001001              1              0  0000000000000001         0  0000000000000000
   0        1  100001010100000000  0000000000001001  0000000000000001  0000000000000000  0000000000001001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000010  0000000000001010  0000000000000001  0000000000000000  0000000000001001              0              0  0000000000000001         0  0000000000000000
   0        1  100011100000010000  0000000000001011  0000000000000001  0000000000000000  0000000000000010              1              0  0000000000000001         0  0000000000000001
   0        1  000000000000101100  0000000000001100  0000000000000001  0000000000000000  0000000000000010              0              0  0000000000000000         1  0000000000000001
   0        1  100000011000000010  0000000000001101  0000000000000001  0000000000000000  0000000000101100              1              0  0000000000000001         0  0000000000000000
   0        1  100001010100000000  0000000000001110  0000000000000001  0000000000000000  0000000000101100              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000101  0000000000001111  0000000000000001  0000000000000000  0000000000101100              0              0  0000000000000000         0  0000000000000000
   0        1  100001010100100000  0000000000010000  0000000000000001  0000000000000000  0000000000000101              1              0  0000000000000000         1  0000000000000000
   0        1  000000000000000001  0000000000010001  0000000000000001  0000000000000000  0000000000000101              0              0  0000000000000001         0  0000000000000000
   0        1  100011100000010000  0000000000010010  0000000000000001  0000000000000000  0000000000000001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000100001  0000000000010011  0000000000000000  0000000000000000  0000000000000001              0              0  0000000000000000         1  0000000000000000
   0        1  100000011000000010  0000000000010100  0000000000000000  0000000000000000  0000000000100001              1              0  0000000000000000         0  0000000000000000
   0        1  100001010100000000  0000000000100001  0000000000000000  0000000000000000  0000000000100001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000101  0000000000100010  0000000000000000  0000000000000000  0000000000100001              0              0  0000000000000000         0  0000000000000000
   0        1  100011100000010000  0000000000100011  0000000000000000  0000000000000000  0000000000000101              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000001  0000000000100100  0000000000000000  0000000000000000  0000000000000101              0              0  0000000000000000         0  0000000000000000
   0        1  100000011000100000  0000000000100101  0000000000000000  0000000000000000  0000000000000001              1              0  0000000000000000         1  0000000000000000
   0        1  000000000000000010  0000000000100110  0000000000000000  0000000000000000  0000000000000001              0              0  0000000000000000         0  0000000000000000
   0        1  100011100000010000  0000000000100111  0000000000000000  0000000000000000  0000000000000010              1              0  0000000000000000         0  0000000000000000
   0        1  100000011100010000  0000000000101000  0000000000000000  0000000000000000  0000000000000010              1              0  1111111111111111         0  0000000000000000
   0        1  100000011000100000  0000000000101001  1111111111111111  0000000000000000  0000000000000010              1              0  1111111111111111         1  0000000000000000
   0        1  000000000000001001  0000000000101010  1111111111111111  0000000000000000  0000000000000010              0              0  0000000000000010         0  1111111111111111
   0        1  100000011000000111  0000000000101011  1111111111111111  0000000000000000  0000000000001001              1              0  1111111111111111         0  0000000000000000
   0        1  100001010100000000  0000000000001001  1111111111111111  0000000000000000  0000000000001001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000010  0000000000001010  1111111111111111  0000000000000000  0000000000001001              0              0  0000000000001001         0  0000000000000000
   0        1  100011100000010000  0000000000001011  1111111111111111  0000000000000000  0000000000000010              1              0  1111111111111111         0  1111111111111111
   0        1  000000000000101100  0000000000001100  1111111111111111  0000000000000000  0000000000000010              0              0  0000000000000010         1  1111111111111111
   0        1  100000011000000010  0000000000001101  1111111111111111  0000000000000000  0000000000101100              1              0  1111111111111111         0  0000000000000000
   0        1  100001010100000000  0000000000001110  1111111111111111  0000000000000000  0000000000101100              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000101  0000000000001111  1111111111111111  0000000000000000  0000000000101100              0              0  0000000000101100         0  0000000000000000
   0        1  100001010100100000  0000000000010000  1111111111111111  0000000000000000  0000000000000101              1              0  0000000000000000         1  0000000000000000
   0        1  000000000000000001  0000000000010001  1111111111111111  0000000000000000  0000000000000101              0              0  0000000000000101         0  0000000000000000
   0        1  100011100000010000  0000000000010010  1111111111111111  0000000000000000  0000000000000001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000100001  0000000000010011  0000000000000000  0000000000000000  0000000000000001              0              0  0000000000000000         1  0000000000000000
   0        1  100000011000000010  0000000000010100  0000000000000000  0000000000000000  0000000000100001              1              0  0000000000000000         0  0000000000000000
   0        1  100001010100000000  0000000000100001  0000000000000000  0000000000000000  0000000000100001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000101  0000000000100010  0000000000000000  0000000000000000  0000000000100001              0              0  0000000000000000         0  0000000000000000
   0        1  100011100000010000  0000000000100011  0000000000000000  0000000000000000  0000000000000101              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000001  0000000000100100  0000000000000000  0000000000000000  0000000000000101              0              0  0000000000000000         0  0000000000000000
   0        1  100000011000100000  0000000000100101  0000000000000000  0000000000000000  0000000000000001              1              0  0000000000000000         1  0000000000000000
   0        1  000000000000000010  0000000000100110  0000000000000000  0000000000000000  0000000000000001              0              0  0000000000000000         0  0000000000000000
   0        1  100011100000010000  0000000000100111  0000000000000000  0000000000000000  0000000000000010              1              0  0000000000000010         0  0000000000000010
   0        1  100000011100010000  0000000000101000  0000000000000010  0000000000000000  0000000000000010              1              0  0000000000000001         0  0000000000000010
   0        1  100000011000100000  0000000000101001  0000000000000001  0000000000000000  0000000000000010              1              0  0000000000000001         1  0000000000000010
   0        1  000000000000001001  0000000000101010  0000000000000001  0000000000000000  0000000000000010              0              0  0000000000000000         0  0000000000000001
   0        1  100000011000000111  0000000000101011  0000000000000001  0000000000000000  0000000000001001              1              0  0000000000000001         0  0000000000000000
   0        1  100001010100000000  0000000000001001  0000000000000001  0000000000000000  0000000000001001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000010  0000000000001010  0000000000000001  0000000000000000  0000000000001001              0              0  0000000000000001         0  0000000000000000
   0        1  100011100000010000  0000000000001011  0000000000000001  0000000000000000  0000000000000010              1              0  0000000000000001         0  0000000000000001
   0        1  000000000000101100  0000000000001100  0000000000000001  0000000000000000  0000000000000010              0              0  0000000000000000         1  0000000000000001
   0        1  100000011000000010  0000000000001101  0000000000000001  0000000000000000  0000000000101100              1              0  0000000000000001         0  0000000000000000
   0        1  100001010100000000  0000000000001110  0000000000000001  0000000000000000  0000000000101100              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000101  0000000000001111  0000000000000001  0000000000000000  0000000000101100              0              0  0000000000000000         0  0000000000000000
   0        1  100001010100100000  0000000000010000  0000000000000001  0000000000000000  0000000000000101              1              0  0000000000000000         1  0000000000000000
   0        1  000000000000000001  0000000000010001  0000000000000001  0000000000000000  0000000000000101              0              0  0000000000000001         0  0000000000000000
   0        1  100011100000010000  0000000000010010  0000000000000001  0000000000000000  0000000000000001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000100001  0000000000010011  0000000000000000  0000000000000000  0000000000000001              0              0  0000000000000000         1  0000000000000000
   0        1  100000011000000010  0000000000010100  0000000000000000  0000000000000000  0000000000100001              1              0  0000000000000000         0  0000000000000000
   0        1  100001010100000000  0000000000100001  0000000000000000  0000000000000000  0000000000100001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000101  0000000000100010  0000000000000000  0000000000000000  0000000000100001              0              0  0000000000000000         0  0000000000000000
   0        1  100011100000010000  0000000000100011  0000000000000000  0000000000000000  0000000000000101              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000001  0000000000100100  0000000000000000  0000000000000000  0000000000000101              0              0  0000000000000000         0  0000000000000000
   0        1  100000011000100000  0000000000100101  0000000000000000  0000000000000000  0000000000000001              1              0  0000000000000000         1  0000000000000000
   0        1  000000000000000010  0000000000100110  0000000000000000  0000000000000000  0000000000000001              0              0  0000000000000000         0  0000000000000000
   0        1  100011100000010000  0000000000100111  0000000000000000  0000000000000000  0000000000000010              1              0  0000000000000000         0  0000000000000000
   0        1  100000011100010000  0000000000101000  0000000000000000  0000000000000000  0000000000000010              1              0  1111111111111111         0  0000000000000000
   0        1  100000011000100000  0000000000101001  1111111111111111  0000000000000000  0000000000000010              1              0  1111111111111111         1  0000000000000000
   0        1  000000000000001001  0000000000101010  1111111111111111  0000000000000000  0000000000000010              0              0  0000000000000010         0  1111111111111111
   0        1  100000011000000111  0000000000101011  1111111111111111  0000000000000000  0000000000001001              1              0  1111111111111111         0  0000000000000000
   0        1  100001010100000000  0000000000001001  1111111111111111  0000000000000000  0000000000001001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000010  0000000000001010  1111111111111111  0000000000000000  0000000000001001              0              0  0000000000001001         0  0000000000000000
   0        1  100011100000010000  0000000000001011  1111111111111111  0000000000000000  0000000000000010              1              0  1111111111111111         0  1111111111111111
   0        1  000000000000101100  0000000000001100  1111111111111111  0000000000000000  0000000000000010              0              0  0000000000000010         1  1111111111111111
   0        1  100000011000000010  0000000000001101  1111111111111111  0000000000000000  0000000000101100              1              0  1111111111111111         0  0000000000000000
   0        1  100001010100000000  0000000000001110  1111111111111111  0000000000000000  0000000000101100              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000101  0000000000001111  1111111111111111  0000000000000000  0000000000101100              0              0  0000000000101100         0  0000000000000000
   0        1  100001010100100000  0000000000010000  1111111111111111  0000000000000000  0000000000000101              1              0  0000000000000000         1  0000000000000000
   0        1  000000000000000001  0000000000010001  1111111111111111  0000000000000000  0000000000000101              0              0  0000000000000101         0  0000000000000000
   0        1  100011100000010000  0000000000010010  1111111111111111  0000000000000000  0000000000000001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000100001  0000000000010011  0000000000000000  0000000000000000  0000000000000001              0              0  0000000000000000         1  0000000000000000
   0        1  100000011000000010  0000000000010100  0000000000000000  0000000000000000  0000000000100001              1              0  0000000000000000         0  0000000000000000
   0        1  100001010100000000  0000000000100001  0000000000000000  0000000000000000  0000000000100001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000101  0000000000100010  0000000000000000  0000000000000000  0000000000100001              0              0  0000000000000000         0  0000000000000000
   0        1  100011100000010000  0000000000100011  0000000000000000  0000000000000000  0000000000000101              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000001  0000000000100100  0000000000000000  0000000000000000  0000000000000101              0              0  0000000000000000         0  0000000000000000
   0        1  100000011000100000  0000000000100101  0000000000000000  0000000000000000  0000000000000001              1              0  0000000000000000         1  0000000000000000
   0        1  000000000000000010  0000000000100110  0000000000000000  0000000000000000  0000000000000001              0              0  0000000000000000         0  0000000000000000
   0        1  100011100000010000  0000000000100111  0000000000000000  0000000000000000  0000000000000010              1              0  0000000000000010         0  0000000000000010
   0        1  100000011100010000  0000000000101000  0000000000000010  0000000000000000  0000000000000010              1              0  0000000000000001         0  0000000000000010
   0        1  100000011000100000  0000000000101001  0000000000000001  0000000000000000  0000000000000010              1              0  0000000000000001         1  0000000000000010
   0        1  000000000000001001  0000000000101010  0000000000000001  0000000000000000  0000000000000010              0              0  0000000000000000         0  0000000000000001
   0        1  100000011000000111  0000000000101011  0000000000000001  0000000000000000  0000000000001001              1              0  0000000000000001         0  0000000000000000
   0        1  100001010100000000  0000000000001001  0000000000000001  0000000000000000  0000000000001001              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000010  0000000000001010  0000000000000001  0000000000000000  0000000000001001              0              0  0000000000000001         0  0000000000000000
   0        1  100011100000010000  0000000000001011  0000000000000001  0000000000000000  0000000000000010              1              0  0000000000000001         0  0000000000000001
   0        1  000000000000101100  0000000000001100  0000000000000001  0000000000000000  0000000000000010              0              0  0000000000000000         1  0000000000000001
   0        1  100000011000000010  0000000000001101  0000000000000001  0000000000000000  0000000000101100              1              0  0000000000000001         0  0000000000000000
   0        1  100001010100000000  0000000000001110  0000000000000001  0000000000000000  0000000000101100              1              0  0000000000000000         0  0000000000000000
   0        1  000000000000000101  0000000000001111  0000000000000001  0000000000000000  0000000000101100              0              0  0000000000000000         0  0000000000000000
   0        1  100001010100100000  0000000000010000  0000000000000001  0000000000000000  0000000000000101              1              0  0000000000000000         1  0000000000000000
   0        1  000000000000000001  0000000000010001  0000000000000001  0000000000000000  0000000000000101              0              0  0000000000000001         0  0000000000000000
   0        1  100011100000010000  0000000000010010  0000000000000001  0000000000000000  0000000000000001              1              0  0000000000000000         0  0000000000000000
